,burst_allowance,drop_prob,current_qdelay,qdelay_old,accu_prob,measurement_start,tot_pkts,tot_bytes,length,len_bytes,drops,ecn
0,135000,6093.645345535059,470000,10000,0,61290000,18,14074,1,1500,0,0
1,135000,0.0,480000,0,0,61320000,28,27626,0,0,0,0
2,135000,6093.645345535059,470000,10000,0,61530000,51,49094,4,4552,0,0
3,135000,6093.645345535059,470000,10000,0,61570000,68,73146,6,7552,0,0
4,120000,4810.901433347493,470000,10000,0,61570000,72,79146,1,1500,0,0
5,135000,6093.645345535059,470000,10000,0,61760000,134,146082,29,40604,0,0
6,120000,61260.44295167573,450000,30000,0,61760000,135,147582,21,28604,0,0
7,90000,1195395.4630401037,420000,60000,0,61760000,147,165582,21,28604,0,0
8,75000,0.0,440000,40000,0,61760000,155,177582,19,28500,0,0
9,60000,0.0,450000,30000,0,61760000,156,179082,16,24000,0,0
10,45000,8018.005918874057,440000,40000,0,61760000,164,188186,11,13604,0,0
11,30000,14432.70430004248,440000,40000,0,61760000,164,188186,7,7604,0,0
12,135000,6093.645345535059,470000,10000,0,61980000,194,224498,13,16604,0,0
13,120000,61260.44295167573,450000,30000,0,61980000,195,224550,6,4656,0,0
14,135000,20206.275430174766,450000,30000,0,62080000,232,255434,4,208,0,0
15,135000,13149.960387854913,460000,20000,0,62130000,265,291902,19,22708,0,0
16,120000,244082.5279807252,440000,40000,0,62130000,275,302558,21,21364,0,0
17,105000,346719.17030976585,440000,40000,0,62130000,287,320558,33,39364,0,0
18,90000,449355.81263880647,440000,40000,0,62130000,294,328162,17,22604,0,0
19,75000,1003594.1706257412,430000,50000,0,62130000,316,358266,35,46708,0,0
20,60000,1598887.1855442922,420000,60000,0,62130000,324,364474,38,45416,0,0
21,30000,8659.622580025487,430000,50000,0,62130000,338,379682,32,36416,0,0
22,15000,45865.06895484846,420000,60000,0,62130000,338,379682,28,30416,0,0
23,0,92051.19094533028,420000,60000,0,62130000,345,384390,19,16916,0,0
24,0,138237.31293581208,420000,60000,2257032,62130000,357,398046,23,18572,0,0
25,0,0.0,460000,20000,2257032,62130000,357,398046,9,12052,0,0
26,0,14433.193710157773,440000,40000,2257032,62130000,359,399598,3,1604,0,0
27,0,0.0,470000,10000,0,62130000,391,437462,10,15000,0,0
28,0,6735.26200668649,460000,20000,0,62130000,401,449566,15,19604,0,0
29,0,36243.26608815347,450000,30000,68810,62130000,406,457066,16,21104,0,0
30,0,51638.64008498074,450000,30000,2142350,62130000,434,493274,30,39208,0,0
31,0,179934.07593869508,440000,40000,2775422,62130000,440,495034,31,34916,0,0
32,0,734172.4339256298,430000,50000,2775422,62130000,440,495034,27,28916,0,0
33,0,2232668.390749854,400000,80000,31277645,62130000,459,511950,33,26332,0,0
34,0,1493684.076570646,410000,70000,72335267,62130000,468,524002,36,32280,0,0
35,0,0.0,450000,30000,75387276,62130000,469,525502,23,27260,0,0
36,0,8018.005918874057,440000,40000,0,62130000,491,538230,29,21780,0,0
37,0,42657.4750592066,430000,50000,98298,62130000,497,541438,22,12728,0,0
38,135000,6093.645345535059,470000,10000,0,62610000,533,578062,21,28604,0,0
39,120000,61260.44295167573,450000,30000,0,62610000,557,609718,35,48156,0,0
40,105000,302456.4300723924,430000,50000,0,62610000,571,627822,40,52760,0,0
41,90000,446147.7293330493,430000,50000,0,62610000,571,627822,34,46656,0,0
42,60000,0.0,420000,60000,0,62610000,608,668842,48,57520,0,0
43,45000,16999.170944648202,400000,80000,0,62610000,616,677946,47,53124,0,0
44,30000,0.0,420000,60000,0,62610000,620,679602,43,42780,0,0
45,15000,2886.5408600084957,420000,60000,0,62610000,626,684258,35,35124,0,0
46,0,70883.2246386013,400000,80000,0,62610000,635,690518,36,29384,0,0
47,0,137596.67509489125,400000,80000,0,62610000,635,690518,24,17176,0,0
48,0,0.0,440000,40000,1686888,62610000,641,693726,11,9260,0,0
49,135000,6093.645345535059,470000,10000,0,62860000,673,727246,19,25604,0,0
50,120000,4810.901433347493,470000,10000,0,62860000,675,730246,17,22604,0,0
51,105000,88202.95920876757,440000,40000,0,62860000,699,763350,29,37708,0,0
52,90000,0.0,460000,20000,0,62860000,703,769350,27,37604,0,0
53,75000,7376.878667837921,450000,30000,0,62860000,704,769402,24,31656,0,0
54,60000,95900.89091223886,420000,60000,0,62860000,717,783110,24,27312,0,0
55,45000,254987.56416972302,410000,70000,0,62860000,725,793662,28,31864,0,0
56,30000,29186.951045833615,420000,60000,0,62860000,726,795162,24,27312,0,0
57,15000,0.0,440000,40000,0,62860000,736,805818,18,21208,0,0
58,0,8659.622580025487,430000,50000,0,62860000,739,805974,17,15364,0,0
59,135000,6093.645345535059,470000,10000,0,63100000,784,834378,11,13604,0,0
60,135000,13149.960387854913,460000,20000,0,63130000,825,888638,29,36260,0,0
61,120000,131181.97671372283,450000,30000,0,63130000,826,888690,28,33312,0,0
62,105000,644365.188358926,440000,40000,0,63130000,826,888690,22,24312,0,0
63,90000,295400.60444018786,450000,30000,0,63130000,849,918846,21,27156,0,0
64,75000,808583.8160853911,440000,40000,0,63130000,860,931002,21,27156,0,0
65,60000,459619.23216665286,450000,30000,0,63130000,860,931002,15,18156,0,0
66,135000,6093.645345535059,470000,10000,0,63260000,891,955782,5,6052,0,0
67,135000,6093.645345535059,470000,10000,0,63310000,947,1013718,21,22812,0,0
68,135000,13149.960387854913,460000,20000,0,63360000,978,1055874,13,18052,0,0
69,120000,131181.97671372283,450000,30000,0,63360000,985,1057686,16,13864,0,0
70,105000,644365.188358926,440000,40000,0,63360000,1004,1068810,26,12936,0,0
71,90000,0.0,460000,20000,0,63360000,1009,1074862,6,6104,0,0
72,75000,0.0,470000,10000,0,63360000,1011,1076414,2,1552,0,0
73,135000,6093.645345535059,470000,10000,0,63480000,1060,1097786,8,12000,0,0
74,120000,61260.44295167573,450000,30000,0,63480000,1110,1162650,50,64864,0,0
75,105000,189555.87880539006,440000,40000,0,63480000,1120,1174754,52,64968,0,0
76,90000,743794.2367923248,430000,50000,0,63480000,1126,1180858,54,65072,0,0
77,75000,2242290.193616549,400000,80000,0,63480000,1139,1194566,52,59176,0,0
78,60000,3309712.252658802,400000,80000,0,63480000,1149,1206670,50,59072,0,0
79,45000,7989947.547554093,380000,100000,0,63480000,1167,1232222,57,69572,0,0
80,30000,3966587.742384893,410000,70000,0,63480000,1175,1244222,44,55864,0,0
81,15000,4869790.684290566,410000,70000,0,63480000,1178,1248722,47,60364,0,0
82,0,3966587.742384893,420000,60000,0,63480000,1183,1248982,22,24312,0,0
83,0,2899165.6833426394,430000,50000,0,63480000,1183,1248982,5,260,0,0
84,135000,13149.960387854913,460000,20000,0,63720000,1224,1303242,9,13500,0,0
85,120000,131181.97671372283,450000,30000,0,63720000,1224,1303242,1,1500,0,0
86,135000,6093.645345535059,470000,10000,0,63840000,1271,1349126,5,7500,0,0
87,135000,6093.645345535059,470000,10000,0,63890000,1317,1371790,15,6572,0,0
88,120000,4810.901433347493,470000,10000,0,63890000,1332,1387050,6,9000,0,0
89,135000,6093.645345535059,470000,10000,0,63950000,1382,1435986,26,21624,0,0
90,120000,4810.901433347493,470000,10000,0,63950000,1409,1469246,25,30260,0,0
91,105000,31752.928280324042,460000,20000,0,63950000,1436,1499610,31,36364,0,0
92,90000,36884.393339189606,460000,20000,0,63950000,1436,1499610,23,24364,0,0
93,75000,154916.40966505752,450000,30000,0,63950000,1449,1517662,33,37916,0,0
94,60000,668099.6213102607,440000,40000,0,63950000,1454,1523714,12,16552,0,0
95,45000,770736.2636393014,440000,40000,0,63950000,1460,1532714,11,15052,0,0
96,30000,0.0,470000,10000,0,63950000,1488,1568922,6,9000,0,0
97,15000,6735.26200668649,460000,20000,0,63950000,1508,1590234,20,21312,0,0
98,0,8018.005918874057,460000,20000,0,63950000,1511,1593286,9,9156,0,0
99,0,9300.749831061623,460000,20000,98298,63950000,1519,1605286,8,12000,0,0
100,135000,6093.645345535059,470000,10000,0,64180000,1544,1626858,12,12208,0,0
101,120000,33035.67219251161,460000,20000,0,64180000,1550,1630066,1,1500,0,0
102,135000,13149.960387854913,460000,20000,0,64300000,1657,1736990,6,6104,0,0
103,120000,131181.97671372283,450000,30000,0,64300000,1669,1746302,15,10916,0,0
104,105000,0.0,460000,20000,0,64300000,1684,1764458,13,15156,0,0
105,135000,6093.645345535059,470000,10000,0,64400000,1739,1816550,13,12260,0,0
106,120000,4810.901433347493,470000,10000,0,64400000,1750,1831602,19,24156,0,0
107,105000,31752.928280324042,460000,20000,0,64400000,1764,1841018,22,19968,0,0
108,90000,36884.393339189606,460000,20000,0,64400000,1775,1856070,17,21156,0,0
109,75000,154916.40966505752,450000,30000,0,64400000,1777,1856174,14,16656,0,0
110,60000,0.0,470000,10000,0,64400000,1798,1873194,17,11020,0,0
111,135000,6093.645345535059,470000,10000,0,64560000,1867,1944838,11,16500,0,0
112,120000,33035.67219251161,460000,20000,0,64560000,1897,1978254,23,27260,0,0
113,105000,38167.13725137717,460000,20000,0,64560000,1906,1984514,17,18260,0,0
114,90000,156199.15357724507,450000,30000,0,64560000,1906,1984514,14,13760,0,0
115,75000,0.0,470000,10000,0,64560000,1927,2011670,9,10604,0,0
116,60000,6735.26200668649,460000,20000,0,64560000,1934,2014930,12,7864,0,0
117,45000,8018.005918874057,460000,20000,0,64560000,1949,2035982,7,10500,0,0
118,135000,6093.645345535059,470000,10000,0,64700000,1978,2057762,12,13656,0,0
119,120000,61260.44295167573,450000,30000,0,64700000,1994,2071626,19,14020,0,0
120,105000,0.0,460000,20000,0,64700000,2006,2080938,13,10812,0,0
121,90000,0.0,470000,10000,0,64700000,2028,2108146,25,31708,0,0
122,75000,6735.26200668649,460000,20000,0,64700000,2041,2118958,26,30312,0,0
123,60000,36243.26608815347,450000,30000,0,64700000,2041,2118958,20,21312,0,0
124,45000,0.0,470000,10000,0,64700000,2064,2143322,16,19656,0,0
125,30000,6735.26200668649,460000,20000,0,64700000,2071,2149478,18,18312,0,0
126,15000,8018.005918874057,460000,20000,0,64700000,2086,2167634,19,24156,0,0
127,0,37526.01000034103,450000,30000,0,64700000,2101,2179998,19,14020,0,0
128,0,0.0,460000,20000,0,64700000,2101,2179998,11,6364,0,0
129,135000,6093.645345535059,470000,10000,0,64900000,2130,2210466,11,6364,0,0
130,135000,6093.645345535059,470000,10000,0,64920000,2147,2230174,3,3052,0,0
131,135000,13149.960387854913,460000,20000,0,64940000,2176,2263538,12,18000,0,0
132,120000,131181.97671372283,450000,30000,0,64940000,2187,2271350,20,21312,0,0
133,105000,644365.188358926,440000,40000,0,64940000,2203,2292454,28,30416,0,0
134,90000,295400.60444018786,450000,30000,0,64940000,2208,2295610,28,27520,0,0
135,75000,808583.8160853911,440000,40000,0,64940000,2212,2301610,17,21156,0,0
136,60000,1362822.174072326,430000,50000,0,64940000,2227,2312526,24,20072,0,0
137,45000,0.0,460000,20000,0,64940000,2238,2320338,12,9312,0,0
138,30000,320.56362551806797,460000,20000,0,64940000,2244,2320650,9,4812,0,0
139,135000,6093.645345535059,470000,10000,0,65080000,2268,2345066,16,13864,0,0
140,120000,61260.44295167573,450000,30000,0,65080000,2281,2354430,22,12728,0,0
141,105000,0.0,460000,20000,0,65080000,2294,2372482,9,12052,0,0
142,90000,0.0,470000,10000,0,65080000,2313,2393742,22,25760,0,0
143,75000,6735.26200668649,460000,20000,0,65080000,2334,2418002,22,25760,0,0
144,60000,64468.036847317584,440000,40000,0,65080000,2334,2418002,15,15260,0,0
145,135000,0.0,480000,0,0,65220000,2361,2446918,0,0,0,0
146,135000,0.0,480000,0,0,65240000,2394,2479042,25,21572,0,0
147,135000,6093.645345535059,470000,10000,0,65280000,2434,2521666,17,19708,0,0
148,120000,33035.67219251161,460000,20000,0,65280000,2442,2530770,19,22708,0,0
149,105000,263968.2397853819,440000,40000,0,65280000,2453,2541478,22,21416,0,0
150,90000,0.0,460000,20000,0,65280000,2465,2559478,16,24000,0,0
151,75000,7376.878667837921,450000,30000,0,65280000,2465,2559478,10,15000,0,0
152,60000,11225.599814515916,450000,30000,0,65280000,2483,2571998,19,14020,0,0
153,45000,0.0,460000,20000,0,65280000,2501,2585966,16,10968,0,0
154,135000,6093.645345535059,470000,10000,0,65430000,2527,2610486,10,6312,0,0
155,120000,4810.901433347493,470000,10000,0,65430000,2547,2633246,10,13552,0,0
156,135000,6093.645345535059,470000,10000,0,65480000,2582,2677058,23,31604,0,0
157,120000,61260.44295167573,450000,30000,0,65480000,2588,2677370,16,12416,0,0
158,135000,13149.960387854913,460000,20000,0,65530000,2607,2702974,2,1552,0,0
159,120000,0.0,470000,10000,0,65530000,2626,2722786,7,9052,0,0
160,135000,6093.645345535059,470000,10000,0,65580000,2646,2745546,12,15104,0,0
161,120000,33035.67219251161,460000,20000,0,65580000,2653,2750254,15,13812,0,0
162,105000,38167.13725137717,460000,20000,0,65580000,2667,2765462,18,15416,0,0
163,90000,43298.602310242735,460000,20000,0,65580000,2674,2768722,14,7968,0,0
164,135000,6093.645345535059,470000,10000,0,65660000,2694,2781346,10,520,0,0
165,135000,6093.645345535059,470000,10000,0,65680000,2701,2790398,2,1552,0,0
166,135000,13149.960387854913,460000,20000,0,65710000,2738,2829970,12,10760,0,0
167,120000,131181.97671372283,450000,30000,0,65710000,2758,2849834,29,26124,0,0
168,105000,0.0,460000,20000,0,65710000,2763,2857334,8,12000,0,0
169,90000,7376.878667837921,450000,30000,0,65710000,2781,2871302,23,21468,0,0
170,75000,0.0,470000,10000,0,65710000,2793,2884958,7,10500,0,0
171,135000,13149.960387854913,460000,20000,0,65810000,2827,2921478,15,15260,0,0
172,120000,131181.97671372283,450000,30000,0,65810000,2840,2936634,25,25916,0,0
173,105000,192763.9621111472,450000,30000,0,65810000,2850,2948738,18,22656,0,0
174,90000,254345.9475085716,450000,30000,0,65810000,2862,2958050,25,25916,0,0
175,75000,315927.932905996,450000,30000,0,65810000,2873,2971654,25,25916,0,0
176,60000,377509.91830342036,450000,30000,0,65810000,2874,2971706,22,19968,0,0
177,135000,6093.645345535059,470000,10000,0,65950000,2892,2982778,8,10552,0,0
178,135000,13149.960387854913,460000,20000,0,66010000,2972,3059338,42,45624,0,0
179,120000,131181.97671372283,450000,30000,0,66010000,2972,3059338,38,39624,0,0
180,105000,1095966.9040168202,430000,50000,0,66010000,2979,3062598,29,26124,0,0
181,90000,5283545.826322601,410000,70000,0,66010000,2996,3085202,37,39572,0,0
182,75000,7993155.63085985,400000,80000,0,66010000,3002,3089858,38,36728,0,0
183,60000,1834951.7076061433,440000,40000,0,66010000,3014,3103514,30,33416,0,0
184,45000,2245498.276922306,440000,40000,0,66010000,3015,3105014,13,15156,0,0
185,30000,2656044.8462384683,440000,40000,0,66010000,3037,3129326,24,25864,0,0
186,15000,1260185.5317432852,450000,30000,0,66010000,3048,3140034,25,24468,0,0
187,0,3312919.8465544437,440000,40000,0,66010000,3056,3149138,21,22812,0,0
188,0,110653.66942768412,460000,20000,115076570,66010000,3073,3167398,19,21260,0,0
189,0,131180.99789349223,460000,20000,116659242,66010000,3080,3175002,18,21208,0,0
190,0,151708.32635930038,460000,20000,120947866,66010000,3096,3193210,18,21208,0,0
191,0,623836.8810728873,450000,30000,123117740,66010000,3103,3203710,13,15156,0,0
192,0,233817.64022253288,460000,20000,138413792,66010000,3115,3215918,18,21208,0,0
193,0,705946.1949361198,450000,30000,145580102,66010000,3130,3235522,25,28812,0,0
194,0,767528.1803335443,450000,30000,145580102,66010000,3130,3235522,17,22604,0,0
195,0,829110.1657309686,450000,30000,172240726,66010000,3147,3247990,22,19968,0,0
196,0,439090.92488061415,460000,20000,179017130,66010000,3151,3251094,13,12260,0,0
197,0,911219.4795942011,450000,30000,179914314,66010000,3152,3251146,9,4812,0,0
198,135000,6093.645345535059,470000,10000,0,66360000,3174,3271114,4,6000,0,0
199,135000,6093.645345535059,470000,10000,0,66420000,3232,3333498,19,28500,0,0
200,120000,61260.44295167573,450000,30000,0,66420000,3252,3357706,31,40708,0,0
201,90000,204951.25280221732,440000,40000,0,66420000,3266,3378706,21,25708,0,0
202,75000,0.0,460000,20000,0,66420000,3272,3387706,8,12000,0,0
203,135000,13149.960387854913,460000,20000,0,66560000,3341,3447766,25,28812,0,0
204,120000,131181.97671372283,450000,30000,0,66560000,3341,3447766,20,21312,0,0
205,105000,1095966.9040168202,430000,50000,0,66560000,3355,3461526,27,24572,0,0
206,90000,0.0,440000,40000,0,66560000,3357,3464526,14,13760,0,0
207,75000,0.0,450000,30000,0,66560000,3377,3477150,17,9572,0,0
208,135000,6093.645345535059,470000,10000,0,66690000,3411,3494846,12,10760,0,0
209,120000,4810.901433347493,470000,10000,0,66690000,3442,3531210,23,34500,0,0
210,105000,59977.69903948816,450000,30000,0,66690000,3450,3540314,23,31604,0,0
211,90000,75373.07303631543,450000,30000,0,66690000,3476,3570626,45,55916,0,0
212,75000,203668.50889002977,440000,40000,0,66690000,3476,3570626,39,46916,0,0
213,60000,757906.8668769646,430000,50000,0,66690000,3490,3588730,23,30156,0,0
214,45000,0.0,460000,20000,0,66690000,3506,3609834,22,30104,0,0
215,30000,7376.878667837921,450000,30000,0,66690000,3521,3626542,33,40812,0,0
216,15000,39450.37057368003,440000,40000,0,66690000,3533,3632958,27,23124,0,0
217,0,178009.71536535607,430000,50000,0,66690000,3537,3638958,26,21624,0,0
218,0,773302.7302839071,420000,60000,0,66690000,3537,3638958,20,16968,0,0
219,0,0.0,470000,10000,15800710,66690000,3547,3649614,9,9156,0,0
220,135000,6093.645345535059,470000,10000,0,66910000,3569,3666686,6,9000,0,0
221,120000,33035.67219251161,460000,20000,0,66910000,3595,3696998,24,27312,0,0
222,105000,38167.13725137717,460000,20000,0,66910000,3596,3698498,11,16500,0,0
223,90000,156199.15357724507,450000,30000,0,66910000,3627,3733414,26,30312,0,0
224,75000,0.0,460000,20000,0,66910000,3642,3748674,33,39364,0,0
225,60000,7376.878667837921,450000,30000,0,66910000,3642,3748674,29,33364,0,0
226,45000,39450.37057368003,440000,40000,0,66910000,3656,3758090,22,18520,0,0
227,30000,0.0,460000,20000,0,66910000,3659,3762590,4,4552,0,0
228,15000,320.56362551806797,460000,20000,0,66910000,3659,3762590,4,4552,0,0
229,135000,6093.645345535059,470000,10000,0,67110000,3727,3828390,17,25500,0,0
230,120000,61260.44295167573,450000,30000,0,67110000,3745,3849598,27,34708,0,0
231,105000,189555.87880539006,440000,40000,0,67110000,3753,3857254,26,28864,0,0
232,90000,292192.5211344307,440000,40000,0,67110000,3757,3863254,30,34864,0,0
233,75000,846430.8791213655,430000,50000,0,67110000,3769,3876910,26,30312,0,0
234,60000,990122.1783820224,430000,50000,0,67110000,3786,3898066,32,39312,0,0
235,45000,1133813.4776426794,430000,50000,0,67110000,3802,3907586,34,30728,0,0
236,30000,1708579.1640954223,430000,50000,0,67110000,3806,3907794,28,20280,0,0
237,15000,4089751.223769626,420000,60000,0,67110000,3810,3908002,29,15988,0,0
238,0,0.0,470000,10000,0,67110000,3821,3920158,7,10500,0,0
239,0,6735.26200668649,460000,20000,0,67110000,3827,3920470,8,3312,0,0
240,135000,6093.645345535059,470000,10000,0,67340000,3866,3963042,6,6104,0,0
241,135000,13149.960387854913,460000,20000,0,67360000,3915,4029302,30,39208,0,0
242,120000,244082.5279807252,440000,40000,0,67360000,3919,4032406,26,30312,0,0
243,105000,346719.17030976585,440000,40000,0,67360000,3938,4056562,29,30468,0,0
244,90000,449355.81263880647,440000,40000,0,67360000,3939,4056614,17,19708,0,0
245,75000,1455195.39687352,420000,60000,0,67360000,3939,4056614,8,7656,0,0
246,60000,0.0,460000,20000,0,67360000,3955,4069030,7,7604,0,0
247,135000,6093.645345535059,470000,10000,0,67500000,3975,4083102,8,7656,0,0
248,135000,6093.645345535059,470000,10000,0,67530000,4002,4113466,12,13656,0,0
249,120000,61260.44295167573,450000,30000,0,67530000,4022,4137674,24,25864,0,0
250,105000,0.0,460000,20000,0,67530000,4028,4145226,23,27260,0,0
251,90000,14433.193710157773,440000,40000,0,67530000,4037,4151486,20,21312,0,0
252,75000,40091.98723483146,440000,40000,0,67530000,4038,4151538,17,15364,0,0
253,60000,0.0,450000,30000,0,67530000,4054,4172642,9,12052,0,0
254,135000,6093.645345535059,470000,10000,0,67700000,4146,4277338,34,46656,0,0
255,120000,61260.44295167573,450000,30000,0,67700000,4154,4283546,30,37760,0,0
256,105000,189555.87880539006,440000,40000,0,67700000,4162,4291202,25,25916,0,0
257,90000,743794.2367923248,430000,50000,0,67700000,4163,4291254,21,19916,0,0
258,75000,0.0,450000,30000,0,67700000,4174,4306306,14,18104,0,0
259,60000,962.1802866694986,450000,30000,0,67700000,4185,4318462,16,18208,0,0
260,45000,1924.3605733389973,450000,30000,0,67700000,4196,4327722,18,15416,0,0
261,30000,5773.081720016991,450000,30000,0,67700000,4200,4327930,22,15624,0,0
262,135000,6093.645345535059,470000,10000,0,67860000,4239,4369054,22,27208,0,0
263,120000,61260.44295167573,450000,30000,0,67860000,4262,4387626,31,24780,0,0
264,105000,189555.87880539006,440000,40000,0,67860000,4276,4407178,31,33468,0,0
265,75000,7376.878667837921,450000,30000,0,67860000,4318,4458594,47,58916,0,0
266,45000,178009.71536535607,430000,50000,0,67860000,4331,4463614,36,33728,0,0
267,15000,1409650.4021340744,410000,70000,0,67860000,4351,4493614,41,47020,0,0
268,0,0.0,450000,30000,0,67860000,4372,4519322,38,51208,0,0
269,0,15074.32096119391,430000,50000,0,67860000,4394,4540738,53,62124,0,0
270,0,163897.57469083165,420000,60000,369612,67860000,4406,4551498,50,56176,0,0
271,0,800245.2465409989,410000,70000,1039388,67860000,4408,4551602,48,50280,0,0
272,0,1929249.2909806767,390000,90000,12485242,67860000,4415,4551966,48,40144,0,0
273,0,1354483.6045279338,400000,80000,51905132,67860000,4425,4566966,34,30728,0,0
274,0,2421905.663570187,400000,80000,93418892,67860000,4440,4580778,42,38384,0,0
275,0,0.0,420000,60000,217134442,67860000,4465,4613934,48,58968,0,0
276,0,0.0,430000,50000,0,67860000,4468,4614090,47,53124,0,0
277,0,2244.924198857065,430000,50000,0,67860000,4487,4632454,49,54676,0,0
278,0,67675.63074295945,410000,70000,64218,67860000,4501,4641870,55,52092,0,0
279,0,124125.66167140298,410000,70000,617338,67860000,4505,4646422,53,47644,0,0
280,0,1253129.7061110807,390000,90000,2899945,67860000,4514,4659922,55,50644,0,0
281,0,678364.0196583377,400000,80000,28504845,67860000,4524,4667682,44,45728,0,0
282,0,1396821.0053717375,390000,90000,29890930,67860000,4525,4669182,39,38228,0,0
283,0,0.0,430000,50000,166887298,67860000,4573,4729598,63,75676,0,0
284,0,2244.924198857065,430000,50000,0,67860000,4575,4732598,50,63416,0,0
285,0,39450.37057368003,420000,60000,105501,67860000,4598,4755514,57,68124,0,0
286,0,198537.0438311642,410000,70000,347325,67860000,4601,4755670,55,60780,0,0
287,0,1327541.0882708419,390000,90000,11300307,67860000,4628,4793274,71,81884,0,0
288,0,752775.401818099,400000,80000,38425637,67860000,4638,4805378,77,87988,0,0
289,0,1019630.6718736046,400000,80000,53806917,67860000,4648,4814586,72,80488,0,0
290,0,1738087.6575870044,390000,90000,53806917,67860000,4648,4814586,68,74488,0,0
291,0,6582541.580208761,370000,110000,96423633,67860000,4660,4821002,67,65748,0,0
292,0,4529807.265397602,390000,90000,298172883,67860000,4675,4840606,65,74332,0,0
293,0,7567854.3253877815,380000,100000,307428530,67860000,4676,4842106,62,69832,0,0
294,0,10770120.502514541,370000,110000,740398578,67860000,4704,4878314,68,75936,0,0
295,0,17010434.229041595,370000,110000,828423898,67860000,4708,4878522,69,71644,0,0
296,0,1573868.5404504242,400000,80000,828423898,67860000,4708,4878522,50,60520,0,0
297,0,2641290.5994926775,400000,80000,960273666,67860000,4749,4911062,66,58456,0,0
298,0,7321525.894387968,380000,100000,960273666,67860000,4749,4911062,51,41748,0,0
299,0,8717385.208883151,380000,100000,1050033060,67860000,4755,4917166,57,47852,0,0
300,0,2887618.5410823748,420000,60000,1637829885,67860000,4788,4960874,47,61812,0,0
301,0,5433009.228483044,410000,70000,1803035541,67860000,4816,4979706,68,70144,0,0
302,0,6336212.170388717,410000,70000,2180474233,67860000,4850,5030706,93,110540,0,0
303,0,5433009.228483044,420000,60000,2348780436,67860000,4863,5042966,94,110592,0,0
304,0,7978399.915883713,410000,70000,2348780436,67860000,4863,5042966,90,104592,0,0
305,0,12494416.093642423,390000,90000,2528103250,67860000,4874,5047882,92,96008,0,0
306,0,17420979.33012741,390000,90000,2655750960,67860000,4879,5051038,87,87060,0,0
307,0,29573169.038318478,380000,100000,2762538573,67860000,4882,5052642,86,82664,0,0
308,0,56833486.69023766,350000,130000,3427226223,67860000,4893,5061902,71,73196,0,0
309,0,71613176.88910274,340000,140000,580632530,67860000,4899,5068006,71,71748,1,0
310,0,87049742.57769392,330000,150000,3072835374,67860000,4956,5147714,115,131956,2,0
311,0,103143183.26660107,320000,160000,1600799940,67860000,4967,5164214,118,136456,3,0
312,0,112667872.48411812,320000,160000,3076049961,67860000,4974,5168922,112,128904,3,0
313,0,73912239.63491371,360000,120000,4457319399,67860000,4980,5170682,98,116592,3,0
314,0,80809428.36175674,360000,120000,4910388741,67860000,4983,5175182,94,116384,3,0
315,0,80480991.10630381,370000,110000,0,67860000,4997,5178806,102,112456,5,0
316,0,93946931.30453695,360000,120000,164444887,67860000,5015,5197118,97,103508,6,0
317,0,115295372.97479212,340000,140000,4387554349,67860000,5037,5224326,109,115716,6,0
318,0,136315376.90018427,310000,170000,1649061974,67860000,5052,5239586,106,103976,7,0
319,0,142227252.88184828,320000,160000,3063829494,67860000,5064,5257586,107,111268,8,0
320,0,163247256.8072404,310000,170000,290609549,67860000,5068,5263586,107,111268,9,0
321,0,183610385.73231658,310000,170000,333559221,67860000,5075,5266846,94,91768,10,0
322,0,175071009.25997853,330000,150000,1083892653,67860000,5077,5266950,87,85612,10,0
323,0,192806637.69438067,330000,150000,1083892653,67860000,5077,5266950,72,79040,10,0
324,0,210542266.12878284,330000,150000,3939571980,67860000,5127,5321678,108,115664,15,0
325,0,228277894.56318498,330000,150000,5592547792,67860000,5141,5335438,107,118508,16,0
326,0,249297898.4885771,310000,170000,1865739080,67860000,5166,5370042,119,133612,19,0
327,0,255209774.47024113,320000,160000,3565691094,67860000,5174,5377698,112,130352,20,0
328,0,259807899.96186307,330000,150000,4608619168,67860000,5176,5379250,110,125904,20,0
329,0,280827903.8872552,310000,170000,1061718554,67860000,5193,5380218,113,108756,22,0
330,0,214483515.64126855,370000,110000,1061718554,67860000,5193,5380218,93,99028,22,0
331,0,235503519.5666607,350000,130000,2191245225,67860000,5202,5380794,94,89040,23,0
332,0,256523523.49205282,340000,140000,4811987170,67860000,5233,5414274,119,113520,25,0
333,0,277543527.41744494,320000,160000,524148389,67860000,5247,5430990,115,110456,28,0
334,0,296592906.3418892,320000,160000,0,67860000,5265,5456562,116,116320,31,0
335,0,317612910.2672813,310000,170000,1212042404,67860000,5275,5465850,121,118108,32,0
336,0,323524786.2489453,320000,160000,2595883496,67860000,5287,5472346,123,113948,33,0
337,0,344544790.17433745,290000,190000,1322100938,67860000,5297,5485898,118,105000,35,0
338,0,353084166.64667547,300000,180000,1408000282,67860000,5306,5499398,117,106396,38,0
339,0,345858540.17496943,320000,160000,0,67860000,5312,5504122,108,103072,40,0
340,0,350456665.66659135,330000,150000,2120053485,67860000,5335,5531382,91,104904,42,0
341,0,353741041.1575813,340000,140000,1432159470,67860000,5394,5569914,128,123280,55,0
342,0,374761045.0829735,330000,150000,722790621,67860000,5397,5574414,127,121780,56,0
343,0,395781049.00836563,320000,160000,1531480586,67860000,5408,5583814,120,108464,58,0
344,0,414830427.9328098,320000,160000,1617379930,67860000,5412,5585530,118,102608,59,0
